area,H2_import,biogas_import,biomass_coge,coal,geothermal_coge,lake,lost_load,marine,methanization,natural_gas,nuclear,offshore_float,offshore_ground,onshore,pv_ground,pv_roof_com,pv_roof_indiv,pyrogazification,river,rsv_dummy,waste,ch4_ccgt,ch4_ocgt,electrolysis,h2_ccgt,methanation,ocgt_coge,battery_1h,battery_2h,battery_4h,battery_8h,ch4_reservoir,h2_saltcavern,phs,str_dummy
BE,0.0,26711.34072200937,0.37,0.0,0.0,0.0,6.1877773965629545e-12,0.0,1.0,0.0,0.0,5.0,3.0,11.6,17.0,24.2,10.3,0.0,0.1,0.0,0.66,7.0,1.0,6.0,5.0,2.0,4.82,0.0,0.0,10.0,3.0,0.0,0.0,1.3,0.0
CH,0.0,0.0,0.0,0.0,0.0,7.9,4.80741289262278e-12,0.0,0.6,0.0,0.0,0.0,0.0,11.7,13.6,19.4,8.2,0.6,8.2,0.0,0.0,1.7,0.3,13.0,1.0,1.2,0.0,0.0,0.0,3.3,0.0,0.0,0.0,3.12,0.0
DE,0.0,663.1640606744008,0.4,0.0,0.05,0.4,7.569600790648954e-12,0.0,11.0,0.0,0.0,40.4,24.7,129.6,125.8,179.1,76.2,3.5,4.29,0.0,0.0,49.0,8.0,74.0,25.0,12.0,0.0,0.0,0.0,33.0,14.0,0.0,0.0,6.5,0.0
ES,0.0,13581.52623790654,0.23,0.0,1.43,11.7,4.855886857368892e-12,3.7,6.5,0.0,0.0,6.7,4.1,89.4,50.1,70.9,30.6,1.9,4.5,0.0,0.26,12.0,2.0,37.0,6.0,3.5,0.0,0.0,0.0,37.0,4.0,0.0,0.0,6.4,0.0
FR,0.0,0.0,0.0,0.0,0.135,13.03119,5.5037736255418416e-11,1.25,19.0,0.0,12.72746738421396,25.67147,18.10886,72.96889,60.91269,69.92072,32.99132,1.0,7.6,0.0,2.841376989468684,12.0,4.0,20.0,0.0,3.5,1.9711362838075168,0.0,0.0,15.0,0.0,88.417,7.0,7.0,0.0
IE,0.0,0.0,0.03,0.0,0.0,0.0,8.777977403072717e-12,0.0,1.7,0.0,0.0,16.4,10.0,18.4,5.9,8.4,3.6,0.3,0.2,0.0,0.0,6.0,1.0,26.0,3.0,7.5,0.3,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,36897.18105516496,0.57,0.0,1.3,9.0,1.4038279038291632e-09,0.0,4.3,0.0,0.0,8.6,5.3,67.6,62.370000000000005,88.83,37.8,4.3,13.0,0.0,0.79,19.0,3.0,27.0,10.0,4.0,8.25430277485072,0.0,0.0,40.0,10.0,0.0,0.0,7.22,0.0
NL,0.0,73541.84627420933,0.15,0.0,0.0,0.0,6.673994450853972e-12,0.0,1.2,0.0,0.0,37.2,22.8,12.0,24.2,34.5,14.7,0.0,0.04,0.0,0.0,23.0,4.0,31.0,11.0,8.6,2.107481559536354,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.46,0.0,0.0,2.8,4.330442300346821e-12,0.0,0.7,0.0,0.0,4.5,2.7,17.0,10.9,15.6,6.6,1.1,0.8,0.0,0.0,1.5,0.3,11.0,0.8,1.3,0.0,0.0,0.0,3.3,0.0,0.0,0.0,4.7,0.0
UK,0.0,53167.61635855288,0.26,0.0,0.0,0.0,9.327728507019273e-12,0.0,4.2,0.0,0.0,54.6,33.4,61.1,36.2,51.5,21.9,2.4,2.2,0.0,0.0,50.0,9.0,44.0,25.0,7.6,5.0,0.0,0.0,30.0,6.0,0.0,0.0,2.8,0.0
